CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"58,456","10,612","4,01,893",29.83,1.80,-2.25,"6,370",1.80,1.85,"3,510","25,000.00",65,"2,225.20","2,244.95",65,-363.15,"2,250.60",-,"1,881",-143,"7,723",
,"2,258","1,551","39,732",30.08,1.65,-2.25,"2,015",1.65,1.75,325,"25,050.00",780,"2,068.15","2,424.60","2,470",-270.00,"2,160.00",-,7,-2,5,
,"3,398",257,"60,538",30.52,1.60,-1.65,845,1.50,1.60,"2,210","25,100.00",390,"2,292.90","2,393.90",910,-361.05,"2,339.20",-,11,-,37,
,"1,368",894,"19,062",30.60,1.40,-1.90,"1,235",1.40,1.55,"2,405","25,150.00",65,"2,349.45","2,574.80","1,690",152.30,"2,300.00",-,2,1,3,
,"6,151","1,504","81,441",31.01,1.35,-2.05,"1,170",1.35,1.40,"3,770","25,200.00",130,"2,425.85","2,465.30",65,-408.80,"2,425.05",-,143,-1,233,
,873,226,"9,436",31.15,1.20,-2.15,"1,690",1.20,1.35,65,"25,250.00",390,"2,448.85","2,576.75",780,-331.10,"2,473.90",-,6,-,23,
,"4,008",-562,"80,957",31.93,1.30,-1.85,"1,755",1.20,1.30,"1,755","25,300.00",390,"2,496.50","2,599.50",780,-262.25,"2,627.50",55.52,88,-,118,
,"1,387",994,"10,928",32.32,1.25,-1.90,"2,340",1.15,1.25,"1,560","25,350.00",780,"2,391.90","2,665.95",780,-,-,-,-,-,1,
,"11,658","9,779","90,116",32.25,1.05,-2.15,"1,83,820",1.00,1.05,"23,660","25,400.00",65,"2,621.45","2,713.60",65,-332.80,"2,627.25",-,289,-27,326,
,"1,328",987,"26,598",32.76,1.05,-2.00,"23,335",1.00,1.05,"3,705","25,450.00","1,690","2,440.55","2,773.00",780,300.00,"2,700.00",-,1,-,1,
,"31,987","4,420","2,50,443",33.10,1.00,-2.00,"4,09,435",0.95,1.00,"31,200","25,500.00",65,"2,715.15","2,735.15",130,-350.70,"2,751.20",-,"1,278",-267,"3,041",
,"1,914","1,300","19,285",33.43,0.95,-2.05,"83,980",0.95,1.00,260,"25,550.00",65,"2,766.30","2,873.30",780,-235.30,"2,809.70",-,1,-,10,
,"4,531",296,"52,535",34.27,1.05,-1.90,"53,170",1.00,1.05,"40,885","25,600.00",65,"2,811.90","2,929.60",65,-472.00,"2,701.00",-,79,-,98,
,878,654,"4,831",34.42,0.95,-2.00,"2,860",0.95,1.10,"1,820","25,650.00",65,"2,624.60","2,971.95",780,-257.75,"2,872.25",-,2,-,16,
,"3,477","1,403","38,318",34.91,0.95,-1.70,325,0.95,1.05,"2,925","25,700.00",65,"2,917.15","2,990.65",65,-354.55,"2,931.00",-,45,-13,55,
,700,398,"6,093",35.22,0.90,-1.70,"3,120",0.90,0.95,"1,430","25,750.00",780,"2,794.90","3,066.85",780,-,-,-,-,-,7,
,"2,587",613,"30,932",35.71,0.90,-1.50,"1,820",0.90,0.95,"7,995","25,800.00",65,"3,010.90","3,111.80",780,-208.10,"3,060.00",-,83,19,103,
,"2,176","1,900","14,815",36.19,0.90,-1.45,"1,105",0.90,0.95,"12,545","25,850.00",390,"3,040.25","3,151.70",780,-,-,-,-,-,1,
,"2,827","1,841","25,451",36.48,0.85,-1.40,"32,760",0.85,0.90,"7,150","25,900.00",325,"3,102.70","3,252.15",65,-510.75,"2,950.25",-,5,-4,11,
,"1,112",666,"9,285",36.96,0.85,-1.15,"17,550",0.80,0.85,715,"25,950.00",780,"3,016.70","3,342.40",780,-,-,-,-,-,1,
,"27,024","-1,889","2,00,119",37.22,0.80,-1.30,"1,06,470",0.80,0.85,"1,75,760","26,000.00",130,"3,211.90","3,247.05",65,-348.00,"3,243.70",-,"1,231",-360,"3,233",
,755,483,"4,207",37.70,0.80,-1.15,"1,625",0.80,0.85,"1,625","26,050.00",780,"3,240.05","3,365.30",780,-,-,-,-,-,2,
,"1,103",526,"8,143",38.17,0.80,-1.05,"39,585",0.75,0.80,390,"26,100.00",390,"3,286.95","3,341.60",65,-304.25,"3,357.90",-,297,-136,195,
,500,359,"4,686",38.65,0.80,-1.10,650,0.75,0.85,"2,210","26,150.00",780,"3,187.25","3,465.80",780,-,-,-,-,-,1,
,"3,877","1,001","15,483",39.12,0.80,-1.00,"2,405",0.75,0.80,"7,150","26,200.00",390,"3,392.10","3,521.70",780,-,-,-,-,-,10,
,406,219,"2,405",39.35,0.75,-1.15,"3,250",0.70,0.90,"2,600","26,250.00",65,"3,457.35","3,621.90",780,-127.30,"3,512.70",-,7,-,40,
,"1,966","1,370","11,845",39.57,0.70,-0.85,"4,875",0.70,0.75,"1,755","26,300.00",65,"3,504.10","3,595.10",390,-368.90,"3,481.10",-,90,-1,137,
,477,232,"2,148",40.52,0.80,-0.85,130,0.75,0.80,"2,990","26,350.00",390,"3,546.95","3,687.85",780,-,-,-,-,-,1,
,"4,249","2,073","18,318",40.49,0.70,-0.60,"12,415",0.70,0.75,"27,235","26,400.00",390,"3,590.90","3,696.70",390,-,-,-,-,-,1,
,337,134,"2,259",40.95,0.70,-0.85,"2,990",0.70,0.85,910,"26,450.00",780,"3,430.60","3,811.30",780,-,-,-,-,-,1,
,"17,700","3,985","57,502",41.41,0.70,-0.90,"13,260",0.70,0.75,"19,955","26,500.00",390,"3,692.60","3,751.00",65,-298.15,"3,753.25",-,167,-8,561,
,"1,148",714,"4,169",42.13,0.75,-0.75,"5,525",0.70,0.75,"2,860","26,550.00",780,"3,569.80","4,029.05",780,-,-,-,-,-,1,
,"15,845","3,251","50,085",42.32,0.70,-0.65,"2,78,980",0.65,0.70,"54,860","26,600.00",260,"3,813.75","3,920.90",780,-164.85,"3,791.30",-,16,-,41,
